viff	viff-module.html
viff.runtime.Runtime.__init__	viff.runtime.Runtime-class.html#__init__
viff.comparison.ComparisonToft05Mixin.greater_than_equal	viff.comparison.ComparisonToft05Mixin-class.html#greater_than_equal
viff.runtime.Runtime.xor	viff.runtime.Runtime-class.html#xor
viff.runtime.Runtime.sub	viff.runtime.Runtime-class.html#sub
viff.runtime.BasicRuntime.synchronize	viff.runtime.BasicRuntime-class.html#synchronize
viff.runtime.Runtime.add	viff.runtime.Runtime-class.html#add
viff.runtime.BasicRuntime.preprocess	viff.runtime.BasicRuntime-class.html#preprocess
viff.runtime.Runtime.mul	viff.runtime.Runtime-class.html#mul
viff.comparison.ComparisonToft05Mixin._diamond	viff.comparison.ComparisonToft05Mixin-class.html#_diamond
viff.runtime.Runtime._recombine	viff.runtime.Runtime-class.html#_recombine
viff.runtime.BasicRuntime.schedule_callback	viff.runtime.BasicRuntime-class.html#schedule_callback
viff.runtime.BasicRuntime.add_options	viff.runtime.BasicRuntime-class.html#add_options
viff.comparison.ComparisonToft05Mixin.convert_bit_share	viff.comparison.ComparisonToft05Mixin-class.html#convert_bit_share
viff.runtime.BasicRuntime._expect_share	viff.runtime.BasicRuntime-class.html#_expect_share
viff.runtime.BasicRuntime.program_counter	viff.runtime.BasicRuntime-class.html#program_counter
viff.runtime.Runtime.prss_share_random	viff.runtime.Runtime-class.html#prss_share_random
viff.runtime.BasicRuntime.protocols	viff.runtime.BasicRuntime-class.html#protocols
viff.runtime.Runtime.shamir_share	viff.runtime.Runtime-class.html#shamir_share
viff.runtime.Runtime._shamir_share	viff.runtime.Runtime-class.html#_shamir_share
viff.runtime.BasicRuntime._pool	viff.runtime.BasicRuntime-class.html#_pool
viff.runtime.BasicRuntime._needed_data	viff.runtime.BasicRuntime-class.html#_needed_data
viff.runtime.BasicRuntime.players	viff.runtime.BasicRuntime-class.html#players
viff.runtime.Runtime.prss_share	viff.runtime.Runtime-class.html#prss_share
viff.comparison.Toft07Runtime	viff.comparison.Toft07Runtime-class.html
viff.runtime.BasicRuntime.num_players	viff.runtime.BasicRuntime-class.html#num_players
viff.runtime.BasicRuntime._expect_data	viff.runtime.BasicRuntime-class.html#_expect_data
viff.runtime.BasicRuntime.add_player	viff.runtime.BasicRuntime-class.html#add_player
viff.comparison.ComparisonToft07Mixin._finish_greater_than_equal	viff.comparison.ComparisonToft07Mixin-class.html#_finish_greater_than_equal
viff.runtime.BasicRuntime._exchange_shares	viff.runtime.BasicRuntime-class.html#_exchange_shares
viff.comparison.ComparisonToft07Mixin.greater_than_equal_online	viff.comparison.ComparisonToft07Mixin-class.html#greater_than_equal_online
viff.runtime.BasicRuntime.shutdown	viff.runtime.BasicRuntime-class.html#shutdown
viff.runtime.BasicRuntime.threshold	viff.runtime.BasicRuntime-class.html#threshold
viff.runtime.BasicRuntime.wait_for	viff.runtime.BasicRuntime-class.html#wait_for
viff.runtime.Runtime.open	viff.runtime.Runtime-class.html#open
viff.runtime.BasicRuntime.id	viff.runtime.BasicRuntime-class.html#id
viff.runtime.Runtime.__init__	viff.runtime.Runtime-class.html#__init__
viff.comparison.ComparisonToft07Mixin.greater_than_equal	viff.comparison.ComparisonToft07Mixin-class.html#greater_than_equal
viff.runtime.Runtime.xor	viff.runtime.Runtime-class.html#xor
viff.runtime.Runtime.sub	viff.runtime.Runtime-class.html#sub
viff.runtime.BasicRuntime.synchronize	viff.runtime.BasicRuntime-class.html#synchronize
viff.runtime.Runtime.add	viff.runtime.Runtime-class.html#add
viff.runtime.BasicRuntime.preprocess	viff.runtime.BasicRuntime-class.html#preprocess
viff.runtime.Runtime.mul	viff.runtime.Runtime-class.html#mul
viff.runtime.Runtime._recombine	viff.runtime.Runtime-class.html#_recombine
viff.runtime.BasicRuntime.schedule_callback	viff.runtime.BasicRuntime-class.html#schedule_callback
viff.runtime.BasicRuntime.add_options	viff.runtime.BasicRuntime-class.html#add_options
viff.comparison.ComparisonToft07Mixin.convert_bit_share	viff.comparison.ComparisonToft07Mixin-class.html#convert_bit_share
viff.runtime.BasicRuntime._expect_share	viff.runtime.BasicRuntime-class.html#_expect_share
viff.runtime.BasicRuntime.program_counter	viff.runtime.BasicRuntime-class.html#program_counter
viff.comparison.ComparisonToft07Mixin.greater_than_equal_preproc	viff.comparison.ComparisonToft07Mixin-class.html#greater_than_equal_preproc
viff.runtime.Runtime.prss_share_random	viff.runtime.Runtime-class.html#prss_share_random
viff.runtime.BasicRuntime.protocols	viff.runtime.BasicRuntime-class.html#protocols
viff.runtime.Runtime.shamir_share	viff.runtime.Runtime-class.html#shamir_share
viff.runtime.Runtime._shamir_share	viff.runtime.Runtime-class.html#_shamir_share
viff.runtime.BasicRuntime._pool	viff.runtime.BasicRuntime-class.html#_pool
viff.runtime.BasicRuntime._needed_data	viff.runtime.BasicRuntime-class.html#_needed_data
viff.runtime.BasicRuntime.players	viff.runtime.BasicRuntime-class.html#players
viff.runtime.Runtime.prss_share	viff.runtime.Runtime-class.html#prss_share
viff.config.Player	viff.config.Player-class.html
viff.config.Player.__init__	viff.config.Player-class.html#__init__
viff.config.Player.__repr__	viff.config.Player-class.html#__repr__
viff.config.Player.dealer_prfs	viff.config.Player-class.html#dealer_prfs
viff.config.Player.prfs	viff.config.Player-class.html#prfs
viff.field.FieldElement	viff.field.FieldElement-class.html
viff.field.GF256	viff.field.GF256-class.html
viff.field.GF256.__rtruediv__	viff.field.GF256-class.html#__rtruediv__
viff.field.GF256.__str__	viff.field.GF256-class.html#__str__
viff.field.GF256.__radd__	viff.field.GF256-class.html#__radd__
viff.field.GF256.__truediv__	viff.field.GF256-class.html#__truediv__
viff.field.GF256.__rsub__	viff.field.GF256-class.html#__rsub__
viff.field.GF256.__rdiv__	viff.field.GF256-class.html#__rdiv__
viff.field.GF256.__rmul__	viff.field.GF256-class.html#__rmul__
viff.field.GF256.__init__	viff.field.GF256-class.html#__init__
viff.field.GF256.field	viff.field.GF256-class.html
viff.field.GF256.__rfloordiv__	viff.field.GF256-class.html#__rfloordiv__
viff.field.GF256.modulus	viff.field.GF256-class.html#modulus
viff.field.GF256.__neg__	viff.field.GF256-class.html#__neg__
viff.field.GF256.__invert__	viff.field.GF256-class.html#__invert__
viff.field.GF256.__pow__	viff.field.GF256-class.html#__pow__
viff.field.GF256.__add__	viff.field.GF256-class.html#__add__
viff.field.GF256.__eq__	viff.field.GF256-class.html#__eq__
viff.field.GF256.__rxor__	viff.field.GF256-class.html#__rxor__
viff.field.GF256.__nonzero__	viff.field.GF256-class.html#__nonzero__
viff.field.GF256.__xor__	viff.field.GF256-class.html#__xor__
viff.field.GF256.__div__	viff.field.GF256-class.html#__div__
viff.field.GF256.__mul__	viff.field.GF256-class.html#__mul__
viff.field.GF256.__repr__	viff.field.GF256-class.html#__repr__
viff.field.GF256.__floordiv__	viff.field.GF256-class.html#__floordiv__
viff.field.GF256.__hash__	viff.field.GF256-class.html#__hash__
viff.field.GF256.__sub__	viff.field.GF256-class.html#__sub__
viff.field2.FieldElement	viff.field2.FieldElement-class.html
viff.field2.GFElement	viff.field2.GFElement-class.html
viff.field2.GFElement.__rtruediv__	viff.field2.GFElement-class.html#__rtruediv__
viff.field2.GFElement.__str__	viff.field2.GFElement-class.html#__str__
viff.field2.GFElement.__radd__	viff.field2.GFElement-class.html#__radd__
viff.field2.GFElement.__truediv__	viff.field2.GFElement-class.html#__truediv__
viff.field2.GFElement.__rsub__	viff.field2.GFElement-class.html#__rsub__
viff.field2.GFElement.__rdiv__	viff.field2.GFElement-class.html#__rdiv__
viff.field2.GFElement.__rmul__	viff.field2.GFElement-class.html#__rmul__
viff.field2.GFElement.__init__	viff.field2.GFElement-class.html#__init__
viff.field2.GFElement.sqrt	viff.field2.GFElement-class.html#sqrt
viff.field2.GFElement.__cmp__	viff.field2.GFElement-class.html#__cmp__
viff.field2.GFElement.__rfloordiv__	viff.field2.GFElement-class.html#__rfloordiv__
viff.field2.GFElement.__neg__	viff.field2.GFElement-class.html#__neg__
viff.field2.GFElement.__invert__	viff.field2.GFElement-class.html#__invert__
viff.field2.GFElement.__pow__	viff.field2.GFElement-class.html#__pow__
viff.field2.GFElement.__add__	viff.field2.GFElement-class.html#__add__
viff.field2.GFElement.bit	viff.field2.GFElement-class.html#bit
viff.field2.GFElement.__eq__	viff.field2.GFElement-class.html#__eq__
viff.field2.GFElement.__repr__	viff.field2.GFElement-class.html#__repr__
viff.field2.GFElement.__nonzero__	viff.field2.GFElement-class.html#__nonzero__
viff.field2.GFElement.__div__	viff.field2.GFElement-class.html#__div__
viff.field2.GFElement.__mul__	viff.field2.GFElement-class.html#__mul__
viff.field2.GFElement.__floordiv__	viff.field2.GFElement-class.html#__floordiv__
viff.field2.GFElement.__hash__	viff.field2.GFElement-class.html#__hash__
viff.field2.GFElement.__sub__	viff.field2.GFElement-class.html#__sub__
viff.matrix.Matrix	viff.matrix.Matrix-class.html
viff.matrix.Matrix.determinant	viff.matrix.Matrix-class.html#determinant
viff.matrix.Matrix.__add__	viff.matrix.Matrix-class.html#__add__
viff.matrix.Matrix.__getitem__	viff.matrix.Matrix-class.html#__getitem__
viff.matrix.Matrix.__str__	viff.matrix.Matrix-class.html#__str__
viff.matrix.Matrix.transpose	viff.matrix.Matrix-class.html#transpose
viff.matrix.Matrix.__radd__	viff.matrix.Matrix-class.html#__radd__
viff.matrix.Matrix.__setitem__	viff.matrix.Matrix-class.html#__setitem__
viff.matrix.Matrix._init_set	viff.matrix.Matrix-class.html#_init_set
viff.matrix.Matrix._init_zeros	viff.matrix.Matrix-class.html#_init_zeros
viff.matrix.Matrix.__rmul__	viff.matrix.Matrix-class.html#__rmul__
viff.matrix.Matrix.__init__	viff.matrix.Matrix-class.html#__init__
viff.matrix.Matrix.__mul__	viff.matrix.Matrix-class.html#__mul__
viff.prss.PRF	viff.prss.PRF-class.html
viff.prss.PRF.__call__	viff.prss.PRF-class.html#__call__
viff.prss.PRF.__init__	viff.prss.PRF-class.html#__init__
viff.runtime.ActiveRuntime	viff.runtime.ActiveRuntime-class.html
viff.runtime.BasicRuntime.num_players	viff.runtime.BasicRuntime-class.html#num_players
viff.runtime.ActiveRuntime.get_triple	viff.runtime.ActiveRuntime-class.html#get_triple
viff.runtime.BasicRuntime._expect_data	viff.runtime.BasicRuntime-class.html#_expect_data
viff.runtime.BasicRuntime.add_player	viff.runtime.BasicRuntime-class.html#add_player
viff.runtime.BasicRuntime._exchange_shares	viff.runtime.BasicRuntime-class.html#_exchange_shares
viff.runtime.BasicRuntime.shutdown	viff.runtime.BasicRuntime-class.html#shutdown
viff.runtime.BasicRuntime.threshold	viff.runtime.BasicRuntime-class.html#threshold
viff.runtime.BasicRuntime.wait_for	viff.runtime.BasicRuntime-class.html#wait_for
viff.runtime.Runtime.open	viff.runtime.Runtime-class.html#open
viff.runtime.ActiveRuntime._hyper	viff.runtime.ActiveRuntime-class.html#_hyper
viff.runtime.ActiveRuntime.__init__	viff.runtime.ActiveRuntime-class.html#__init__
viff.runtime.Runtime.xor	viff.runtime.Runtime-class.html#xor
viff.runtime.Runtime.sub	viff.runtime.Runtime-class.html#sub
viff.runtime.BasicRuntime.synchronize	viff.runtime.BasicRuntime-class.html#synchronize
viff.runtime.BasicRuntime.id	viff.runtime.BasicRuntime-class.html#id
viff.runtime.Runtime.add	viff.runtime.Runtime-class.html#add
viff.runtime.ActiveRuntime.generate_triples	viff.runtime.ActiveRuntime-class.html#generate_triples
viff.runtime.BasicRuntime.preprocess	viff.runtime.BasicRuntime-class.html#preprocess
viff.runtime.ActiveRuntime.mul	viff.runtime.ActiveRuntime-class.html#mul
viff.runtime.ActiveRuntime._broadcast	viff.runtime.ActiveRuntime-class.html#_broadcast
viff.runtime.Runtime._recombine	viff.runtime.Runtime-class.html#_recombine
viff.runtime.BasicRuntime.schedule_callback	viff.runtime.BasicRuntime-class.html#schedule_callback
viff.runtime.BasicRuntime.add_options	viff.runtime.BasicRuntime-class.html#add_options
viff.runtime.ActiveRuntime.double_share_random	viff.runtime.ActiveRuntime-class.html#double_share_random
viff.runtime.BasicRuntime._expect_share	viff.runtime.BasicRuntime-class.html#_expect_share
viff.runtime.ActiveRuntime.broadcast	viff.runtime.ActiveRuntime-class.html#broadcast
viff.runtime.ActiveRuntime.single_share_random	viff.runtime.ActiveRuntime-class.html#single_share_random
viff.runtime.BasicRuntime.program_counter	viff.runtime.BasicRuntime-class.html#program_counter
viff.runtime.Runtime.prss_share_random	viff.runtime.Runtime-class.html#prss_share_random
viff.runtime.BasicRuntime.protocols	viff.runtime.BasicRuntime-class.html#protocols
viff.runtime.Runtime.shamir_share	viff.runtime.Runtime-class.html#shamir_share
viff.runtime.Runtime._shamir_share	viff.runtime.Runtime-class.html#_shamir_share
viff.runtime.BasicRuntime._pool	viff.runtime.BasicRuntime-class.html#_pool
viff.runtime.BasicRuntime._needed_data	viff.runtime.BasicRuntime-class.html#_needed_data
viff.runtime.BasicRuntime.players	viff.runtime.BasicRuntime-class.html#players
viff.runtime.Runtime.prss_share	viff.runtime.Runtime-class.html#prss_share
viff.runtime.BasicRuntime	viff.runtime.BasicRuntime-class.html
viff.runtime.BasicRuntime.num_players	viff.runtime.BasicRuntime-class.html#num_players
viff.runtime.BasicRuntime.schedule_callback	viff.runtime.BasicRuntime-class.html#schedule_callback
viff.runtime.BasicRuntime._expect_data	viff.runtime.BasicRuntime-class.html#_expect_data
viff.runtime.BasicRuntime.add_options	viff.runtime.BasicRuntime-class.html#add_options
viff.runtime.BasicRuntime.players	viff.runtime.BasicRuntime-class.html#players
viff.runtime.BasicRuntime.add_player	viff.runtime.BasicRuntime-class.html#add_player
viff.runtime.BasicRuntime._exchange_shares	viff.runtime.BasicRuntime-class.html#_exchange_shares
viff.runtime.BasicRuntime._pool	viff.runtime.BasicRuntime-class.html#_pool
viff.runtime.BasicRuntime._expect_share	viff.runtime.BasicRuntime-class.html#_expect_share
viff.runtime.BasicRuntime._needed_data	viff.runtime.BasicRuntime-class.html#_needed_data
viff.runtime.BasicRuntime.synchronize	viff.runtime.BasicRuntime-class.html#synchronize
viff.runtime.BasicRuntime.program_counter	viff.runtime.BasicRuntime-class.html#program_counter
viff.runtime.BasicRuntime.threshold	viff.runtime.BasicRuntime-class.html#threshold
viff.runtime.BasicRuntime.protocols	viff.runtime.BasicRuntime-class.html#protocols
viff.runtime.BasicRuntime.shutdown	viff.runtime.BasicRuntime-class.html#shutdown
viff.runtime.BasicRuntime.preprocess	viff.runtime.BasicRuntime-class.html#preprocess
viff.runtime.BasicRuntime.wait_for	viff.runtime.BasicRuntime-class.html#wait_for
viff.runtime.BasicRuntime.id	viff.runtime.BasicRuntime-class.html#id
viff.runtime.BasicRuntime.__init__	viff.runtime.BasicRuntime-class.html#__init__
viff.runtime.Runtime	viff.runtime.Runtime-class.html
viff.runtime.BasicRuntime.num_players	viff.runtime.BasicRuntime-class.html#num_players
viff.runtime.BasicRuntime._expect_data	viff.runtime.BasicRuntime-class.html#_expect_data
viff.runtime.BasicRuntime.add_player	viff.runtime.BasicRuntime-class.html#add_player
viff.runtime.BasicRuntime._exchange_shares	viff.runtime.BasicRuntime-class.html#_exchange_shares
viff.runtime.BasicRuntime.shutdown	viff.runtime.BasicRuntime-class.html#shutdown
viff.runtime.BasicRuntime.threshold	viff.runtime.BasicRuntime-class.html#threshold
viff.runtime.BasicRuntime.wait_for	viff.runtime.BasicRuntime-class.html#wait_for
viff.runtime.Runtime.open	viff.runtime.Runtime-class.html#open
viff.runtime.BasicRuntime.id	viff.runtime.BasicRuntime-class.html#id
viff.runtime.Runtime.__init__	viff.runtime.Runtime-class.html#__init__
viff.runtime.Runtime.xor	viff.runtime.Runtime-class.html#xor
viff.runtime.Runtime.sub	viff.runtime.Runtime-class.html#sub
viff.runtime.BasicRuntime.players	viff.runtime.BasicRuntime-class.html#players
viff.runtime.Runtime.add	viff.runtime.Runtime-class.html#add
viff.runtime.BasicRuntime.preprocess	viff.runtime.BasicRuntime-class.html#preprocess
viff.runtime.Runtime.mul	viff.runtime.Runtime-class.html#mul
viff.runtime.Runtime._recombine	viff.runtime.Runtime-class.html#_recombine
viff.runtime.BasicRuntime.schedule_callback	viff.runtime.BasicRuntime-class.html#schedule_callback
viff.runtime.BasicRuntime.add_options	viff.runtime.BasicRuntime-class.html#add_options
viff.runtime.BasicRuntime._expect_share	viff.runtime.BasicRuntime-class.html#_expect_share
viff.runtime.BasicRuntime.program_counter	viff.runtime.BasicRuntime-class.html#program_counter
viff.runtime.Runtime.prss_share_random	viff.runtime.Runtime-class.html#prss_share_random
viff.runtime.BasicRuntime.protocols	viff.runtime.BasicRuntime-class.html#protocols
viff.runtime.Runtime.shamir_share	viff.runtime.Runtime-class.html#shamir_share
viff.runtime.Runtime._shamir_share	viff.runtime.Runtime-class.html#_shamir_share
viff.runtime.BasicRuntime._pool	viff.runtime.BasicRuntime-class.html#_pool
viff.runtime.BasicRuntime._needed_data	viff.runtime.BasicRuntime-class.html#_needed_data
viff.runtime.BasicRuntime.synchronize	viff.runtime.BasicRuntime-class.html#synchronize
viff.runtime.Runtime.prss_share	viff.runtime.Runtime-class.html#prss_share
viff.runtime.Share	viff.runtime.Share-class.html
viff.runtime.Share.__radd__	viff.runtime.Share-class.html#__radd__
viff.runtime.Share.__rsub__	viff.runtime.Share-class.html#__rsub__
viff.runtime.Share.__rmul__	viff.runtime.Share-class.html#__rmul__
viff.runtime.Share.__lt__	viff.runtime.Share-class.html#__lt__
viff.runtime.Share.__init__	viff.runtime.Share-class.html#__init__
viff.runtime.Share.clone	viff.runtime.Share-class.html#clone
viff.runtime.Share.__add__	viff.runtime.Share-class.html#__add__
viff.runtime.Share.__gt__	viff.runtime.Share-class.html#__gt__
viff.runtime.Share.__rxor__	viff.runtime.Share-class.html#__rxor__
viff.runtime.Share.__xor__	viff.runtime.Share-class.html#__xor__
viff.runtime.Share.__le__	viff.runtime.Share-class.html#__le__
viff.runtime.Share.__mul__	viff.runtime.Share-class.html#__mul__
viff.runtime.Share.__sub__	viff.runtime.Share-class.html#__sub__
viff.runtime.Share.__ge__	viff.runtime.Share-class.html#__ge__
viff.runtime.ShareExchanger	viff.runtime.ShareExchanger-class.html
viff.runtime.ShareExchanger.connectionMade	viff.runtime.ShareExchanger-class.html#connectionMade
viff.runtime.ShareExchanger.sendData	viff.runtime.ShareExchanger-class.html#sendData
viff.runtime.ShareExchanger.stringReceived	viff.runtime.ShareExchanger-class.html#stringReceived
viff.runtime.ShareExchanger.incoming_data	viff.runtime.ShareExchanger-class.html#incoming_data
viff.runtime.ShareExchanger.sendShare	viff.runtime.ShareExchanger-class.html#sendShare
viff.runtime.ShareExchanger.loseConnection	viff.runtime.ShareExchanger-class.html#loseConnection
viff.runtime.ShareExchanger.__init__	viff.runtime.ShareExchanger-class.html#__init__
viff.runtime.ShareExchangerFactory	viff.runtime.ShareExchangerFactory-class.html
viff.runtime.ShareExchangerFactory.protocol	viff.runtime.ShareExchanger-class.html
viff.runtime.ShareExchangerFactory.identify_peer	viff.runtime.ShareExchangerFactory-class.html#identify_peer
viff.runtime.ShareExchangerFactory.__init__	viff.runtime.ShareExchangerFactory-class.html#__init__
viff.runtime.ShareList	viff.runtime.ShareList-class.html
viff.runtime.Share.__radd__	viff.runtime.Share-class.html#__radd__
viff.runtime.Share.__rsub__	viff.runtime.Share-class.html#__rsub__
viff.runtime.Share.__rmul__	viff.runtime.Share-class.html#__rmul__
viff.runtime.Share.__lt__	viff.runtime.Share-class.html#__lt__
viff.runtime.ShareList.__init__	viff.runtime.ShareList-class.html#__init__
viff.runtime.Share.clone	viff.runtime.Share-class.html#clone
viff.runtime.Share.__add__	viff.runtime.Share-class.html#__add__
viff.runtime.Share.__gt__	viff.runtime.Share-class.html#__gt__
viff.runtime.Share.__rxor__	viff.runtime.Share-class.html#__rxor__
viff.runtime.ShareList._callback_fired	viff.runtime.ShareList-class.html#_callback_fired
viff.runtime.Share.__xor__	viff.runtime.Share-class.html#__xor__
viff.runtime.Share.__le__	viff.runtime.Share-class.html#__le__
viff.runtime.Share.__mul__	viff.runtime.Share-class.html#__mul__
viff.runtime.Share.__sub__	viff.runtime.Share-class.html#__sub__
viff.runtime.Share.__ge__	viff.runtime.Share-class.html#__ge__
